timestamp,smoke,voc,co,flame,temp,hum,label,scenario,filename,humid
3305131,96,507,235,0,22.4,56.29,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3305231,98,507,236,0,22.41,56.31,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3305331,95,507,235,0,22.41,56.31,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3305431,96,507,235,0,22.4,56.32,no_fire,closed_room,no_fire__closed_room_20260125_201702_6.csv,
3475431,97,507,241,0,22.54,55.87,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3475531,95,507,240,0,22.54,55.86,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3475631,96,508,240,2,22.53,55.9,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3475731,96,507,240,0,22.54,55.88,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3475831,96,507,239,0,22.52,55.89,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3475931,95,508,240,2,22.53,55.9,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476031,95,507,240,0,22.54,55.93,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476131,97,507,240,2,22.54,55.93,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476231,98,507,240,2,22.52,55.89,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476331,97,508,241,0,22.52,55.92,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476431,97,507,240,2,22.51,55.92,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476531,95,507,239,0,22.53,55.91,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476631,97,507,241,0,22.52,55.9,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476731,97,507,240,0,22.52,55.93,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476831,96,508,241,1,22.52,55.94,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3476931,97,507,240,0,22.52,55.9,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477031,96,507,241,1,22.51,55.94,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477131,96,507,241,0,22.52,55.92,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477231,95,507,241,2,22.52,55.92,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477331,97,508,241,1,22.52,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477431,97,508,241,2,22.51,55.93,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477531,95,508,240,0,22.5,55.98,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477631,97,507,241,0,22.5,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477731,97,507,240,0,22.51,55.96,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477831,98,508,241,2,22.51,55.97,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3477931,97,508,241,0,22.51,55.95,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
3478031,96,507,240,1,22.51,55.95,no_fire,closed_room,no_fire__closed_room_20260125_202002_21.csv,
